facility,id,lat,lon,year,month,cases,population,time
Gombe_Health_Center,fCCBqUju3Q4,-16.38347,35.23061,2025,1,1189.0,2.792876958847046,2025-01
Gowa_Health_Centre,LDtggHdyRks,-14.69897,34.58992,2025,1,1037.0,18.474061965942383,2025-01
Grace_Health_Centre,v1vDgkOvZ0w,-13.762986,34.208915,2025,1,577.0,8.975107192993164,2025-01
Guilleme_St_Michaels_Mission_Hospital,oT0jXXNSmag,-13.88998,33.07557,2025,1,737.0,56.081172943115234,2025-01
Gumba_Dispensary,qUpaRCpnoux,-13.42125,33.11137,2025,1,1513.0,10.914649963378906,2025-01
H_Parker_Sharp_Health_Centre,KhuXq8PnptT,-15.29912,35.36092,2025,1,479.0,8.973302841186523,2025-01
Hallena_Oakely_Health_Centre,v6gj70cBiQE,-16.12668,35.08457,2025,1,121.0,11.20438003540039,2025-01
Hara_Dispensary,T13U7sHC0v2,-10.48876,34.16939,2025,1,436.0,10.293742179870605,2025-01
Hoho_Health_Centre,ypiAvIrP9U6,-12.27815,33.6864,2025,1,1931.0,7.497035980224609,2025-01
Hope_Clinic,SPMuhBNeqHY,-13.76214,34.42199,2025,1,333.0,18.508289337158203,2025-01
Hora_Health_Centre,GCeBJJyoRl0,-11.645009,33.651632,2025,1,508.0,2.1922850608825684,2025-01
Iba_Dispensary,FZw4GOFV5X0,-14.30711,35.39707,2025,1,474.0,31.974464416503906,2025-01
Ifumbo_Health_Centre,LLnCuwo5RNG,-9.60436,33.40495,2025,1,51.0,9.837682723999023,2025-01
Iponga_Health_Centre,tyuN9XbfRHQ,-9.64605,33.81253,2025,1,1509.0,13.415722846984863,2025-01
Jalasi_Health_Centre,s935PXX4rN2,-14.36298,35.44253,2025,1,1115.0,40.732208251953125,2025-01
Jalawe_Health_Centre,rWDOWogc1O7,-10.73052,34.16172,2025,1,1874.0,13.310429573059082,2025-01
Jenda_Health_Centre,Mf6Xg1PJ7hC,-12.35206,33.54755,2025,1,3200.0,24.20929527282715,2025-01
Kabudula_Rural_Hospital,O6y74hiWU9z,-13.81972,33.44838,2025,1,6115.0,85.56449127197266,2025-01
Kabuwa_Health_Centre,ZDj4Y2Flile,-12.51726,34.07395,2025,1,1012.0,5.139504909515381,2025-01
Kabwafu_Health_Centre,sZJvRZgWusR,-11.30869,33.52556,2025,1,1098.0,5.226494789123535,2025-01
